Employee_ID,First_Name,Last_Name,Street_Address,City,State_Code,Zip_Code,Role,Role_Type,Salary,Age,Years_at_Company,Benefit_401k,Contribution_401k,Benefit_Dental,Benefit_Vision,Benefit_Medical,Miles_to_Work,Remote_Employee,Current_Employee
2133b2e6-0982-4103-a9d7-fd441e1699e0,Brett,Fritz,22742 Woods Rest,Wilsonhaven,TN,24750,Data Scientist,tech,163899,33,2.0,True,11.7,True,True,True,11.3,True,True
1ce9ebf2-feab-4aad-996e-3aa00ae9d3fa,Brian,Hernandez,2056 Barry Throughway,Fishershire,MI,49969,Sales Representative,business,89036,62,2.0,True,12.6,True,True,True,15.5,True,True
c4204df5-7f8a-4f94-82f6-13e261b7d1cd,Danny,Ward,8027 Jessica Walk Suite 340,Joshuastad,IA,89884,Technical Writer,business,65902,41,2.0,True,10.0,True,True,True,10.9,True,True
832d987d-171a-4813-9255-224b120823e3,Lisa,Stewart,5982 Rodriguez Summit,Jamesbury,NH,12365,Data Scientist,tech,112882,28,10.42,True,11.5,True,True,True,15.7,True,True
18819479-e18a-42ba-a503-c5929909efe3,Dawn,Huff,44303 Clements Mountains Suite 325,North Brianatown,ID,79197,Data Scientist,tech,147352,53,2.0,True,10.3,True,True,True,5.2,True,True
175d82a8-a400-43f3-bf28-89c7789971ca,Michelle,Little,86647 Darin Cliffs,East Richard,NE,55326,Recruiting Coordinator,HR,52968,32,2.0,True,8.5,True,True,True,17.8,True,True
4ff00f81-5ce2-4dbf-81d0-e69b0f212c72,Greg,Lara,639 Tanya Lakes,North Brian,AR,20691,Graphic Designer,tech,52408,24,6.33,True,11.2,True,True,True,13.3,True,True
d19ea525-e2f6-40f5-bbb2-b9dd80328956,Richard,Holmes,98685 Nolan Drives Suite 525,South Seanside,WY,40986,Recruiting Coordinator,HR,50740,32,2.0,True,13.1,True,True,True,8.8,True,True
948ce8dc-9bce-46a0-bd4e-13aab5bbbd3d,Briana,Lopez,102 Clark Road Apt. 774,Brownbury,FL,20956,UX Designer,tech,109502,35,2.0,True,8.6,True,True,True,4.7,True,True
44e6ab05-63c9-4e48-b90e-90f890bac759,Elaine,Bradford,271 Wilson Points,South Joshua,TN,04738,Data Scientist,tech,116787,46,2.0,True,5.5,True,True,True,3.0,True,True
e0698c74-c40a-4b36-be8a-a648e35bcf4b,Dylan,Lynch,516 Simon Lane Apt. 803,New Anthony,SD,83770,Payroll Specialist,HR,46779,41,2.0,True,9.9,True,True,True,3.9,True,True
a434f287-a043-4f54-b596-608604f7a2e1,Craig,Davidson,0198 Cindy Union,West Andrealand,GU,49035,UX Designer,tech,98146,29,2.0,True,7.6,True,True,True,12.5,True,True
31c2cf5d-f89b-4f49-94f0-5d737786dc5e,Roger,Ballard,759 Smith Valleys,West Marcville,AA,01092,Graphic Designer,tech,53441,25,6.56,True,9.7,True,True,True,19.9,True,True
b39029b7-c0e8-419d-8f6d-234337496d8f,Jason,Baker,489 Williams Pike,Jamesside,SD,26884,Software Engineer,tech,102828,57,2.0,True,8.4,True,True,True,14.4,True,True
e337a176-097c-4b1c-84d3-6fd11fc2e5a4,Roberta,Campbell,32317 Dominique Falls,West Nathaniel,FL,35000,Graphic Designer,tech,53483,29,12.36,True,9.4,True,True,True,23.0,True,True
ea7c48b8-dd02-426d-a4d6-3b4e286ffff0,Benjamin,Rivera,979 Amanda Mountain Apt. 343,Kellerhaven,AA,94792,Manager,business,152488,44,2.0,True,7.9,True,True,True,6.2,True,True
3f92bce3-49a4-4f23-b5a7-0392db7ef5f5,Mary,Farley,08567 Beck Springs,Davischester,NC,49648,Data Scientist,tech,150162,55,2.0,True,12.1,True,True,True,11.1,True,True
e6d070e8-37df-4cb3-9979-89ba5a270348,Maureen,Rice,1479 Hickman Cove Apt. 381,Leontown,GU,36669,Manager,business,189097,49,2.0,True,11.3,True,True,True,6.3,True,True
59f324e7-c4ae-41c1-b315-3309ae7baaa2,Carla,Lewis,05435 Michael Mission,West Vanessaborough,AL,02506,UX Designer,tech,93546,20,8.84,True,11.8,True,True,True,18.9,True,True
36a07b93-65fc-49a1-ab86-0e41af2824d5,Valerie,Mcdaniel,19661 Taylor Stravenue Suite 409,Lake Alexanderview,NV,21690,Sales Representative,business,61519,39,2.0,True,10.8,True,True,True,13.4,True,True
f38a699f-7598-48e5-8fb2-51d410b8e952,Tiffany,Lowery,528 Edward Station Suite 679,New Gloriaside,OR,79509,Manager,business,141280,57,2.0,True,11.2,True,True,True,11.2,True,True
c569c8f9-078a-47f8-8bc7-dda65f1d791f,Sarah,Miller,425 Tiffany Tunnel,South Antonio,TX,33307,Manager,business,123421,65,2.0,True,12.1,True,True,True,8.4,True,True
6c2c99b3-72d3-4ca4-b811-c03f456e8057,Jack,Martin,64964 Darlene Circle,Leehaven,ND,77651,Data Scientist,tech,136016,36,2.0,True,8.7,True,True,True,13.4,True,True
ac674b0f-bb62-416b-8151-9b0de6343196,Nicole,Martinez,059 Mcdaniel Heights,West Jennifershire,MD,97226,HR Business Partner,HR,112628,47,2.0,True,13.7,True,True,True,9.6,True,True
1604ad99-3f46-479a-b136-970ca05472d3,Robert,Robertson,5125 Corey Mountains,Smithstad,AE,36398,Payroll Specialist,HR,46466,60,2.0,True,9.8,True,True,True,6.4,True,True
57ff813d-e814-41c0-aa19-0e34ce69b1f4,Brenda,Smith,7867 David Street,Darrellland,TN,04132,HR Business Partner,HR,114040,53,2.0,True,14.2,True,True,True,8.3,True,True
1c9092d2-8014-47f5-bc90-36a77f84b04d,Tracy,Schaefer,2907 Hahn Ramp,West Ashleyville,AP,22789,Technical Writer,business,84153,45,2.0,True,6.8,True,True,True,4.2,True,True
e190d8da-3f68-40a9-b9a3-f47ef4579226,Zachary,Moreno,7979 James Shore Apt. 878,Lake Chadstad,MT,20126,Manager,business,171829,59,2.0,True,6.1,True,True,True,17.2,True,True
073c1938-fa6e-40f5-874d-217abb3cf075,Mary,Reid,490 Cox Shores Apt. 605,North Anna,FL,39322,UX Designer,tech,119196,20,5.53,True,9.6,True,True,True,11.4,True,True
88b9798d-9b6f-4b57-9cf6-0926cf09f746,Matthew,Barker,6389 Dickerson Drive,South Amber,SD,27104,Manager,business,174024,35,2.0,True,12.9,True,True,True,13.5,True,True
9480c8e2-8bdb-452e-b308-9133153dd7fd,Brenda,Castro,48291 Collins Station,Lake Joshua,AP,74684,Web Developer,tech,84482,18,8.29,True,13.5,True,True,True,17.2,True,True
da9879aa-8f8d-47d5-86d7-6d0cfd99f559,Chad,Allen,3866 Cody Orchard,Jeromeburgh,CT,69277,Software Engineer,tech,132460,22,8.17,True,8.4,True,True,True,12.6,True,True
6e868901-f942-4e9d-87fe-0ea0ce711f55,Connor,Beck,5154 Jones Meadows,Lake Joseph,ND,34648,Web Developer,tech,103197,33,2.0,True,9.0,True,True,True,8.6,True,True
1eaf6f43-da02-49c2-9453-474095221a40,Jonathan,Jones,304 Brady Hills,North Michael,NE,65751,UX Designer,tech,90365,34,2.0,True,7.4,True,True,True,12.3,True,True
04d46e8b-ba4f-4ac5-845b-2a2e5c94d8df,Jennifer,Fischer,72395 Parker Extension Suite 094,Larsonside,IN,18306,Graphic Designer,tech,74522,26,2.0,True,9.5,True,True,True,13.8,True,True
295c9075-c14a-49d6-af4c-9059ed3b039a,Daisy,Garner,9800 Jonathon Branch,South Brendafort,AP,21776,Data Scientist,tech,134025,37,2.0,True,7.6,True,True,True,1.2,True,True
3f2d1ccb-6b52-4f3a-9eca-711dbea6d117,Jennifer,Morales,66890 Cabrera Spur,Parsonsbury,PW,17815,HR Generalist,HR,66316,36,2.0,True,11.7,True,True,True,5.1,True,True
424dc139-1d5c-4e42-80e3-1ef85f870b0c,Nicole,Andrews,5597 Amy Route,West Jonathan,ND,45815,Sales Representative,business,66987,22,11.52,True,10.4,True,True,True,6.4,True,True
d6e2b7b7-6499-455a-8586-cd534c58cff0,Jeffrey,Williams,27980 Tabitha Junctions Suite 374,Timothytown,MH,95422,Manager,business,149819,62,2.0,True,12.7,True,True,True,15.2,True,True
ec3d24bd-9161-43b8-abc7-7e68b46d56d7,Michelle,Love,75383 Montes Brook Apt. 904,North Robertfort,MD,61245,HR Business Partner,HR,96982,54,2.0,True,11.6,True,True,True,8.3,True,True
870f6025-27d9-4366-9e0d-e78d7acb77cb,Robin,Alvarez,656 Cruz Ramp,New Sean,KY,51318,Payroll Specialist,HR,56811,38,2.0,True,10.2,True,True,True,3.2,True,True
952193e6-8e0b-4790-a19c-98ac1db98ac0,Daniel,Alvarez,00975 Stacy Crossroad Apt. 749,Lake Rachelfurt,IA,26459,Recruiter,HR,72417,48,2.0,True,9.4,True,True,True,6.0,True,True
e782a431-7cae-4df7-a9e8-e46c4b3ba951,Carrie,York,2017 Vanessa Locks,Nancyside,AE,30147,Manager,business,199721,38,2.0,True,10.1,True,True,True,9.9,True,True
d38ddc1f-6921-4d8a-9720-5359f63a3dfd,Jennifer,Long,0263 Davis Stravenue,South Alexandra,NJ,12189,Recruiter,HR,61326,59,2.0,True,9.5,True,True,True,11.8,True,True
1fbc3571-a992-4463-8ac6-e14fc16e6cd5,William,Macias,9872 Amy Flat Suite 390,Jonesborough,KY,28245,Technical Writer,business,85614,50,2.0,True,12.6,True,True,True,13.3,True,True
ef6f2095-2f9b-47af-a8f7-2751554f5d94,John,Oneal,94926 Solomon Cove Apt. 667,West Karenborough,HI,03626,HR Generalist,HR,82394,51,2.0,True,8.8,True,True,True,5.4,True,True
87752ea1-65a4-454d-9e07-af7016225072,Jason,Adams,39347 Morgan Roads,North Kristenport,ID,81894,Data Scientist,tech,171980,38,2.0,True,10.1,True,True,True,5.0,True,True
2e2a7e36-e900-4b38-950f-d94db33f52a2,Christian,Griffin,664 Daniel Harbor Apt. 174,Justinfurt,MI,03950,Recruiting Coordinator,HR,52448,28,9.43,True,12.8,True,True,True,18.5,True,True
c2379387-a6a5-4dbc-b281-222209b8caba,Leah,Garcia,2527 Burke Parks,Lake Ashley,PA,95519,Software Engineer,tech,134808,31,2.0,True,8.8,True,True,True,8.0,True,True
ff44e8fa-29bb-43d6-9d1a-731e05d34866,Susan,Campbell,34771 Nathaniel Burg Apt. 232,Yangfort,MT,81525,Recruiter,HR,74046,28,2.0,True,7.5,True,True,True,3.1,True,True
eeb19801-07c0-4462-928e-ca34cfe6a404,Adrian,Hendricks,1903 Henderson Rapid,Mccannview,VI,71842,Manager,business,121063,55,2.0,True,12.0,True,True,True,17.4,True,True
